UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,no_rand
2623,M17482,M,299.6,309.4,1642,30.3,80,0,0,0,0,0,0,7195
2624,M17483,M,299.6,309.4,1283,62.1,83,0,0,0,0,0,0,4944
2625,H32038,H,299.7,309.5,1375,46.8,86,0,0,0,0,0,0,4025
2626,L49805,L,299.7,309.4,1399,39.9,91,0,0,0,0,0,0,229
2627,L49806,L,299.7,309.4,1650,29.8,93,0,0,0,0,0,0,7535
2628,M17487,M,299.8,309.6,1346,53.2,95,0,0,0,0,0,0,2772
2629,H32042,H,299.9,309.6,1410,51.2,98,0,0,0,0,0,0,5135
2630,L49809,L,300,309.7,1586,37.8,103,0,0,0,0,0,0,210
2631,L49810,L,300,309.8,1372,39.6,105,0,0,0,0,0,0,558
2632,H32045,H,300,309.7,1529,42.4,107,0,0,0,0,0,0,2722
2633,M17492,M,300,309.7,1652,28.6,112,0,0,0,0,0,0,477
2634,L49813,L,300.1,309.8,1532,39.8,115,0,0,0,0,0,0,9875
2635,L49814,L,300,309.7,1554,32,117,0,0,0,0,0,0,2811
2636,H32049,H,299.9,309.6,1462,51,119,0,0,0,0,0,0,29
2637,L49816,L,299.9,309.6,1254,61.3,124,0,0,0,0,0,0,754
2638,L49817,L,299.9,309.6,1294,49.7,126,0,0,0,0,0,0,4587
2639,L49818,L,299.8,309.5,1739,27.5,128,0,0,0,0,0,0,9492
2640,M17499,M,299.8,309.4,1412,47.8,130,0,0,0,0,0,0,1851
2641,M17500,M,299.9,309.5,1372,56.2,133,0,0,0,0,0,0,6528
2642,H32055,H,299.8,309.5,1420,46.7,136,0,0,0,0,0,0,6007
2643,L49822,L,299.8,309.5,1542,40.3,141,0,0,0,0,0,0,7468
2644,M17503,M,299.8,309.4,1401,48.1,143,0,0,0,0,0,0,7136
2645,L49824,L,299.8,309.4,1510,42.5,146,0,0,0,0,0,0,4333
2646,H32059,H,299.9,309.5,1547,38.5,148,0,0,0,0,0,0,4555
2647,M17506,M,299.8,309.5,1453,43.2,153,0,0,0,0,0,0,6391
2648,L49827,L,299.8,309.4,1408,45.6,156,0,0,0,0,0,0,7297
2649,L49828,L,299.8,309.4,1436,51.6,158,0,0,0,0,0,0,5493
2650,M17509,M,299.9,309.5,1582,38.2,160,0,0,0,0,0,0,9710
2651,L49830,L,299.9,309.6,1280,59.3,163,0,0,0,0,0,0,8672
2652,L49831,L,299.9,309.5,2008,20.4,165,0,0,0,0,0,0,2520
2653,L49832,L,299.9,309.5,1772,23.5,167,0,0,0,0,0,0,7605
2654,L49833,L,299.9,309.5,1779,26.1,169,0,0,0,0,0,0,6120
2655,L49834,L,299.9,309.5,1567,35.5,171,0,0,0,0,0,0,509
2656,M17515,M,299.8,309.4,1751,27,173,0,0,0,0,0,0,1512
2657,L49836,L,299.9,309.5,1349,51.3,176,0,0,0,0,0,0,4043
2658,M17517,M,300,309.5,1425,40.8,178,0,0,0,0,0,0,4793
2659,L49838,L,300,309.4,1395,44.5,181,0,0,0,0,0,0,4923
2660,H32073,H,299.8,309.3,1595,32.1,183,0,0,0,0,0,0,1766
2661,L49840,L,299.8,309.3,1291,56.4,188,0,0,0,0,0,0,8996
2662,M17521,M,299.9,309.4,1509,42.8,190,0,0,0,0,0,0,1823
2663,M17522,M,299.9,309.4,1483,38.1,193,0,0,0,0,0,0,4137
2664,L49843,L,299.9,309.3,1620,31.1,196,0,0,0,0,0,0,9267
2665,M17524,M,299.9,309.4,1487,42.2,198,0,0,0,0,0,0,9853
2666,L49845,L,299.8,309.4,2256,15.9,201,0,0,0,0,0,0,1961
2667,H32080,H,299.7,309.2,1691,27.7,203,0,0,0,0,0,0,8403
2668,M17527,M,299.8,309.3,1663,35.2,208,0,0,0,0,0,0,6765
2669,M17528,M,299.8,309.3,1640,31.1,211,0,0,0,0,0,0,1241
2670,H32083,H,299.7,309.3,1494,37.8,214,0,0,0,0,0,0,7062
2671,L49850,L,299.8,309.4,1467,46.2,219,0,0,0,0,0,0,5141
2672,M17531,M,299.7,309.3,1399,41.9,221,1,1,0,0,0,0,7808
2673,L49852,L,299.7,309.3,1445,42.6,0,0,0,0,0,0,0,4001
2674,L49853,L,299.8,309.4,1480,40.9,2,0,0,0,0,0,0,6638
2675,L49854,L,299.7,309.3,1546,37.2,4,0,0,0,0,0,0,3236
2676,L49855,L,299.7,309.3,1574,35.8,6,0,0,0,0,0,0,7142
2677,L49856,L,299.7,309.3,1592,34.2,8,0,0,0,0,0,0,5992
2678,L49857,L,299.8,309.5,1495,39.6,10,0,0,0,0,0,0,4150
2679,L49858,L,299.8,309.6,1447,43.1,12,0,0,0,0,0,0,5247
2680,L49859,L,299.8,309.5,1476,44.4,14,0,0,0,0,0,0,3003
2681,L49860,L,299.8,309.5,1641,27.1,16,0,0,0,0,0,0,6347
2682,L49861,L,299.8,309.5,1545,32.2,18,0,0,0,0,0,0,6989
2683,M17542,M,299.9,309.6,1364,44.4,20,0,0,0,0,0,0,4591
2684,L49863,L,299.8,309.5,1590,28.5,23,0,0,0,0,0,0,2408
2685,L49864,L,299.8,309.4,1460,37.4,25,0,0,0,0,0,0,1864
2686,L49865,L,299.8,309.4,1609,32.5,27,0,0,0,0,0,0,5382
2687,L49866,L,299.8,309.4,1633,27.5,29,0,0,0,0,0,0,4464
2688,L49867,L,299.9,309.4,1348,52.8,31,0,0,0,0,0,0,3756
2689,L49868,L,299.9,309.4,1322,53.9,33,0,0,0,0,0,0,683
2690,L49869,L,300,309.5,1641,30.1,35,0,0,0,0,0,0,5239
2691,L49870,L,300,309.5,1728,26,37,0,0,0,0,0,0,6133
2692,L49871,L,300,309.6,1431,47.7,39,0,0,0,0,0,0,6447
2693,L49872,L,300.1,309.7,1641,30.4,41,0,0,0,0,0,0,8655
2694,M17553,M,300.1,309.6,1622,36.1,43,0,0,0,0,0,0,9283
2695,M17554,M,300.1,309.6,1625,38,46,0,0,0,0,0,0,6386
2696,L49875,L,300,309.5,1869,22.7,49,0,0,0,0,0,0,3937
2697,L49876,L,300,309.6,1452,46,51,0,0,0,0,0,0,5285
2698,L49877,L,300,309.6,1618,28.7,53,0,0,0,0,0,0,1044
2699,L49878,L,300,309.4,2010,20,55,0,0,0,0,0,0,8188
2700,L49879,L,299.9,309.4,1363,60.9,57,0,0,0,0,0,0,6662
2701,L49880,L,299.9,309.3,1473,40.4,59,0,0,0,0,0,0,9396
2702,L49881,L,299.9,309.2,1333,50.8,61,0,0,0,0,0,0,413
2703,L49882,L,299.8,309.2,1760,25.9,63,0,0,0,0,0,0,6134
2704,M17563,M,299.8,309.2,1372,58.2,65,0,0,0,0,0,0,6013
2705,M17564,M,299.7,309.2,1608,34.4,68,0,0,0,0,0,0,8876
2706,L49885,L,299.7,309.2,1326,64.8,71,0,0,0,0,0,0,4653
2707,M17566,M,299.6,309.1,1560,37.1,73,0,0,0,0,0,0,4558
2708,M17567,M,299.6,309,1539,36.1,76,0,0,0,0,0,0,6178
2709,L49888,L,299.6,309.1,2266,15.3,79,0,0,0,0,0,0,3165
2710,L49889,L,299.6,309.1,1641,35.8,81,0,0,0,0,0,0,1026
2711,L49890,L,299.6,309.1,1574,39.2,83,0,0,0,0,0,0,6570
2712,L49891,L,299.6,309.1,1407,50.6,85,0,0,0,0,0,0,2498
2713,H32126,H,299.7,309.2,1302,55.5,87,0,0,0,0,0,0,7014
2714,M17573,M,299.6,309.2,1651,30.8,92,0,0,0,0,0,0,6034
2715,M17574,M,299.6,309.1,1366,55.2,95,0,0,0,0,0,0,7762
2716,M17575,M,299.5,309,1701,28.6,98,0,0,0,0,0,0,7048
2717,L49896,L,299.5,309,1498,44.6,101,0,0,0,0,0,0,9024
2718,M17577,M,299.5,309.1,1422,45.3,103,0,0,0,0,0,0,8572
2719,L49898,L,299.5,309.1,1357,47.3,106,0,0,0,0,0,0,8434
2720,L49899,L,299.5,309.2,1690,29.2,108,0,0,0,0,0,0,3728
2721,L49900,L,299.6,309.2,1559,39.1,110,0,0,0,0,0,0,8885
2722,M17581,M,299.6,309.3,1553,32.4,112,0,0,0,0,0,0,1782
2723,L49902,L,299.6,309.3,1558,34.8,115,0,0,0,0,0,0,8437
2724,L49903,L,299.7,309.4,1362,51.9,117,0,0,0,0,0,0,8897
2725,M17584,M,299.8,309.3,1470,42.7,119,0,0,0,0,0,0,4713
2726,L49905,L,299.8,309.4,1555,34.8,122,0,0,0,0,0,0,7180
2727,M17586,M,299.8,309.4,1423,42.9,124,0,0,0,0,0,0,5454
2728,L49907,L,299.7,309.3,1434,38.5,127,0,0,0,0,0,0,9330
2729,L49908,L,299.7,309.3,1779,25.5,129,0,0,0,0,0,0,5272
2730,L49909,L,299.7,309.3,1417,54.6,131,0,0,0,0,0,0,1164
2731,L49910,L,299.6,309.2,1425,45.9,133,0,0,0,0,0,0,2347
2732,M17591,M,299.7,309.2,1597,32.9,135,0,0,0,0,0,0,7212
2733,L49912,L,299.7,309.2,1346,57.4,138,0,0,0,0,0,0,3042
2734,L49913,L,299.7,309.2,1422,40.4,140,0,0,0,0,0,0,1186
2735,H32148,H,299.7,309.2,1572,32.8,142,0,0,0,0,0,0,7050
2736,L49915,L,299.7,309.2,1412,45.4,147,0,0,0,0,0,0,9783
2737,M17596,M,299.7,309.1,1576,36.4,149,0,0,0,0,0,0,2792
2738,M17597,M,299.7,309.1,1508,41.2,152,0,0,0,0,0,0,9315
2739,M17598,M,299.8,309.1,1496,44.4,155,0,0,0,0,0,0,2233
2740,L49919,L,299.8,309.2,1572,35.4,158,0,0,0,0,0,0,1176
2741,L49920,L,299.6,309,1525,42.8,160,0,0,0,0,0,0,7356
2742,L49921,L,299.6,309,1378,51.9,162,0,0,0,0,0,0,2774
2743,L49922,L,299.6,309.1,1369,51.4,164,0,0,0,0,0,0,6987
2744,L49923,L,299.6,309.1,1476,45.3,166,0,0,0,0,0,0,5154
2745,L49924,L,299.7,309.2,1620,30,168,0,0,0,0,0,0,3289
2746,M17605,M,299.7,309.1,1603,38.5,170,0,0,0,0,0,0,2960
2747,L49926,L,299.7,309.2,1411,46.1,173,0,0,0,0,0,0,8735
2748,L49927,L,299.7,309.2,1616,31.6,175,0,0,0,0,0,0,7050
2749,L49928,L,299.7,309.2,1631,35.1,177,0,0,0,0,0,0,1174
2750,M17609,M,299.7,309.2,1685,28.9,179,1,0,0,0,0,0,109
2751,H32164,H,299.7,309.2,1456,40.6,182,0,0,0,0,0,0,9672
2752,L49931,L,299.7,309.1,1417,50.1,187,0,0,0,0,0,0,8898
2753,M17612,M,299.7,309.1,1851,24.7,189,0,0,0,0,0,0,4731
2754,L49933,L,299.7,309.1,1715,27.8,192,0,0,0,0,0,0,5022
2755,H32168,H,299.6,309.1,1630,32.3,194,0,0,0,0,0,0,7493
2756,L49935,L,299.7,309.2,1478,38.8,199,0,0,0,0,0,0,8406
2757,L49936,L,299.7,309.2,1781,29.6,201,0,0,0,0,0,0,9430
2758,L49937,L,299.8,309.2,1439,36.1,203,0,0,0,0,0,0,220
2759,M17618,M,299.7,309.2,1412,45.3,205,0,0,0,0,0,0,9469
2760,L49939,L,299.7,309.1,1483,41.1,208,0,0,0,0,0,0,4982
2761,L49940,L,299.8,309.2,1400,42.6,210,0,0,0,0,0,0,1660
2762,L49941,L,299.8,309.3,1299,65.1,212,1,0,0,0,1,0,2312
2763,L49942,L,299.8,309.2,1479,44.4,214,0,0,0,0,0,0,7323
2764,L49943,L,299.8,309.2,1491,47.5,216,0,0,0,0,0,0,6419
2765,M17624,M,299.9,309.3,1389,52.8,0,0,0,0,0,0,0,5719
2766,M17625,M,299.9,309.4,1399,54.8,3,0,0,0,0,0,0,9199
2767,M17626,M,299.9,309.4,1889,26,6,0,0,0,0,0,0,1081
2768,L49947,L,300,309.5,1925,21.9,9,0,0,0,0,0,0,8672
2769,L49948,L,300,309.5,1675,30.2,11,0,0,0,0,0,0,3564
2770,M17629,M,300,309.6,1477,38.1,13,0,0,0,0,0,0,7439
2771,L49950,L,300,309.6,1364,45.9,16,0,0,0,0,0,0,6562
2772,L49951,L,299.9,309.5,1451,39.4,18,0,0,0,0,0,0,9650
2773,L49952,L,299.9,309.4,1467,41.2,20,0,0,0,0,0,0,8400
2774,L49953,L,299.9,309.4,1858,22.5,22,0,0,0,0,0,0,3040
2775,L49954,L,300.1,309.4,1559,39.7,24,0,0,0,0,0,0,9018
2776,L49955,L,300.1,309.4,1560,47.7,26,0,0,0,0,0,0,5571
2777,L49956,L,300.1,309.4,1453,47.6,28,0,0,0,0,0,0,5677
2778,L49957,L,300.1,309.4,1464,41.7,30,0,0,0,0,0,0,653
2779,L49958,L,300,309.4,1308,50.2,32,0,0,0,0,0,0,7793
2780,L49959,L,300.1,309.5,1353,50.9,34,0,0,0,0,0,0,5362
2781,M17640,M,300.2,309.6,1556,35.8,36,0,0,0,0,0,0,7288
2782,L49961,L,300.2,309.5,2183,17.8,39,0,0,0,0,0,0,33
2783,M17642,M,300.2,309.6,1491,41.8,41,0,0,0,0,0,0,2706
2784,M17643,M,300.2,309.6,1528,35.1,44,0,0,0,0,0,0,7364
2785,L49964,L,300.2,309.6,1430,52.7,47,0,0,0,0,0,0,1636
2786,L49965,L,300.2,309.5,1495,32.6,49,0,0,0,0,0,0,6370
2787,M17646,M,300.2,309.5,1630,28.3,51,0,0,0,0,0,0,6213
2788,M17647,M,300.3,309.6,1524,38.4,54,0,0,0,0,0,0,7860
2789,L49968,L,300.3,309.6,1326,52.4,57,0,0,0,0,0,0,7421
2790,H32203,H,300.3,309.5,1438,44,59,0,0,0,0,0,0,8039
2791,L49970,L,300.4,309.6,1356,45.9,64,0,0,0,0,0,0,8851
2792,H32205,H,300.4,309.6,1416,43.3,66,0,0,0,0,0,0,7461
2793,L49972,L,300.4,309.7,1584,32.6,71,0,0,0,0,0,0,6113
2794,L49973,L,300.3,309.6,1597,31.8,73,0,0,0,0,0,0,8199
2795,L49974,L,300.4,309.6,1553,43.9,75,0,0,0,0,0,0,8802
2796,M17655,M,300.3,309.5,1405,49.4,77,0,0,0,0,0,0,1706
2797,L49976,L,300.2,309.5,1539,35.3,80,0,0,0,0,0,0,8858
2798,M17657,M,300.3,309.6,1398,53.7,82,0,0,0,0,0,0,8739
2799,L49978,L,300.3,309.6,1568,39.6,85,0,0,0,0,0,0,8545
2800,L49979,L,300.3,309.6,1404,44.6,87,0,0,0,0,0,0,5858
2801,M17660,M,300.2,309.5,1500,45.7,89,0,0,0,0,0,0,7315
2802,M17661,M,300.2,309.5,1642,28.8,92,0,0,0,0,0,0,9800
2803,M17662,M,300.3,309.6,1509,46.6,95,0,0,0,0,0,0,1085
2804,L49983,L,300.2,309.5,1343,50.2,98,0,0,0,0,0,0,1615
2805,L49984,L,300.1,309.5,1450,40.1,100,0,0,0,0,0,0,6915
2806,L49985,L,300,309.4,1460,43.5,102,0,0,0,0,0,0,4331
2807,L49986,L,300,309.3,1364,41.2,104,0,0,0,0,0,0,7381
2808,M17667,M,299.9,309.3,1452,41.9,106,0,0,0,0,0,0,4343
2809,L49988,L,299.9,309.3,1471,41.8,109,0,0,0,0,0,0,621
2810,L49989,L,299.9,309.2,1598,34.6,111,0,0,0,0,0,0,4757
2811,L49990,L,299.8,309.1,1772,24.8,113,0,0,0,0,0,0,722
2812,L49991,L,299.9,309.2,1761,25.6,115,0,0,0,0,0,0,1639
2813,M17672,M,300,309.3,1413,40.7,117,0,0,0,0,0,0,8047
2814,L49993,L,300,309.3,1887,22.6,120,0,0,0,0,0,0,2072
2815,L49994,L,300,309.3,1395,56.5,122,0,0,0,0,0,0,5541
2816,M17675,M,300.1,309.4,1569,31.6,124,0,0,0,0,0,0,3052
2817,L49996,L,300.1,309.4,1434,47.3,127,0,0,0,0,0,0,3024
2818,L49997,L,300.2,309.5,1417,41.1,129,0,0,0,0,0,0,9961
2819,L49998,L,300.2,309.5,1729,28.4,131,0,0,0,0,0,0,5970
2820,L49999,L,300.2,309.5,1356,51.1,133,0,0,0,0,0,0,5709
2821,L50000,L,300.2,309.5,1436,48.8,135,0,0,0,0,0,0,3632
2822,M17681,M,300.3,309.6,1419,42.5,137,0,0,0,0,0,0,5402
2823,L50002,L,300.3,309.6,1593,38.1,140,0,0,0,0,0,0,5779
2824,M17683,M,300.3,309.5,1320,62.2,142,0,0,0,0,0,0,1115
2825,M17684,M,300.3,309.5,1448,42.4,145,0,0,0,0,0,0,3876
2826,L50005,L,300.3,309.4,1470,33.5,148,0,0,0,0,0,0,4623
2827,M17686,M,300.3,309.4,1612,33.1,150,0,0,0,0,0,0,9503
2828,L50007,L,300.4,309.4,1412,51.6,153,0,0,0,0,0,0,5081
2829,M17688,M,300.4,309.4,1875,23.9,155,0,0,0,0,0,0,8098
2830,L50009,L,300.3,309.3,1612,36,158,0,0,0,0,0,0,2226
2831,M17690,M,300.4,309.3,1411,41.6,160,0,0,0,0,0,0,9624
2832,M17691,M,300.3,309.2,1490,47.9,163,0,0,0,0,0,0,6758
2833,M17692,M,300.4,309.3,1467,40.3,166,0,0,0,0,0,0,8075
2834,L50013,L,300.3,309.2,1807,26.4,169,0,0,0,0,0,0,1941
2835,L50014,L,300.3,309.1,1368,46,171,0,0,0,0,0,0,2195
2836,L50015,L,300.3,309.2,1572,32,173,0,0,0,0,0,0,8106
2837,M17696,M,300.3,309.1,1458,44.3,175,0,0,0,0,0,0,8385
2838,L50017,L,300.3,309.1,1699,30.3,178,0,0,0,0,0,0,2233
2839,L50018,L,300.3,309.3,1478,39.5,180,0,0,0,0,0,0,5828
2840,M17699,M,300.4,309.4,1362,42.1,182,0,0,0,0,0,0,3854
2841,H32254,H,300.4,309.4,1487,38.9,185,0,0,0,0,0,0,5031
2842,L50021,L,300.3,309.4,1705,29.4,190,0,0,0,0,0,0,2256
2843,L50022,L,300.3,309.3,1345,53.5,192,0,0,0,0,0,0,5596
2844,L50023,L,300.3,309.2,1532,40.2,194,0,0,0,0,0,0,4052
2845,L50024,L,300.3,309.2,1650,35.2,196,0,0,0,0,0,0,1900
2846,L50025,L,300.3,309.2,1398,54.4,198,0,0,0,0,0,0,1128
2847,L50026,L,300.3,309.2,1412,44.8,200,0,0,0,0,0,0,7776
2848,L50027,L,300.4,309.3,1525,39.6,202,0,0,0,0,0,0,3621
2849,M17708,M,300.3,309.3,1391,57.9,204,0,0,0,0,0,0,8601
2850,L50029,L,300.4,309.3,1766,28.2,207,0,0,0,0,0,0,9830
2851,L50030,L,300.4,309.3,1671,35,209,0,0,0,0,0,0,4300
2852,L50031,L,300.5,309.3,1373,48.8,211,0,0,0,0,0,0,2849
2853,M17712,M,300.5,309.4,1347,50.1,213,0,0,0,0,0,0,4375
2854,M17713,M,300.5,309.3,1539,39.1,216,0,0,0,0,0,0,5698
2855,L50034,L,300.5,309.3,1470,40.8,219,0,0,0,0,0,0,9791
2856,L50035,L,300.5,309.3,1528,37,221,0,0,0,0,0,0,5553
2857,H32270,H,300.5,309.3,1471,45.2,223,0,0,0,0,0,0,5947
2858,M17717,M,300.4,309.2,1528,37.2,228,0,0,0,0,0,0,788
2859,L50038,L,300.5,309.3,1417,51.5,231,1,0,0,0,1,0,6367
2860,L50039,L,300.6,309.4,1549,43.4,233,0,0,0,0,0,0,2870
2861,H32274,H,300.6,309.4,1463,49.2,235,0,0,0,0,0,0,1859
2862,L50041,L,300.7,309.5,1479,43.6,240,0,0,0,0,0,0,7479
2863,L50042,L,300.6,309.5,1867,23,242,0,0,0,0,0,0,8715
2864,L50043,L,300.6,309.4,1471,44.1,244,0,0,0,0,0,0,4172
2865,H32278,H,300.6,309.4,1380,47.6,246,1,1,0,0,0,0,7025
2866,H32279,H,300.7,309.7,1623,32.7,0,0,0,0,0,0,0,7005
2867,L50046,L,300.8,309.7,1997,20.7,5,0,0,0,0,0,0,6439
2868,H32281,H,300.7,309.6,1390,48.5,7,0,0,0,0,0,0,4119
2869,L50048,L,300.8,309.7,1418,46.6,12,0,0,0,0,0,0,6859
2870,L50049,L,300.8,309.7,1519,35.8,14,0,0,0,0,0,0,6647
2871,M17730,M,300.8,309.7,1519,39.7,16,0,0,0,0,0,0,1028
2872,M17731,M,300.7,309.6,1536,37.2,19,0,0,0,0,0,0,1834
2873,L50052,L,300.8,309.6,1680,28.7,22,0,0,0,0,0,0,186
2874,H32287,H,300.6,309.4,1555,37.9,24,0,0,0,0,0,0,2723
2875,L50054,L,300.6,309.5,1471,49.6,29,0,0,0,0,0,0,5717
2876,M17735,M,300.5,309.4,1877,23.8,31,0,0,0,0,0,0,6965
2877,M17736,M,300.5,309.3,1578,30.5,34,0,0,0,0,0,0,211
2878,M17737,M,300.5,309.4,1655,32.1,37,0,0,0,0,0,0,7703
2879,H32292,H,300.5,309.4,1502,34.3,40,0,0,0,0,0,0,4058
2880,M17739,M,300.6,309.4,1367,63.2,45,1,0,0,1,0,0,2174
2881,L50060,L,300.7,309.5,1541,37.2,48,0,0,0,0,0,0,165
2882,M17741,M,300.6,309.6,1588,37,50,0,0,0,0,0,0,5376
2883,L50062,L,300.6,309.6,1684,32.8,53,0,0,0,0,0,0,9002
2884,L50063,L,300.6,309.5,1437,40,55,0,0,0,0,0,0,3186
2885,L50064,L,300.6,309.6,1409,42.4,57,0,0,0,0,0,0,1039
2886,M17745,M,300.5,309.5,1320,49.9,59,0,0,0,0,0,0,5374
2887,H32300,H,300.5,309.5,1635,34.2,62,0,0,0,0,0,0,3459
2888,M17747,M,300.5,309.5,1691,27.6,67,0,0,0,0,0,0,2999
2889,M17748,M,300.6,309.6,1365,50,70,0,0,0,0,0,0,6815
2890,M17749,M,300.7,309.7,1523,38.2,73,0,0,0,0,0,0,6730
2891,L50070,L,300.6,309.7,1593,32.4,76,0,0,0,0,0,0,3305
2892,L50071,L,300.6,309.6,1682,30.7,78,0,0,0,0,0,0,6125
2893,L50072,L,300.7,309.6,1329,54.3,80,0,0,0,0,0,0,105
2894,M17753,M,300.7,309.6,1568,35.2,82,0,0,0,0,0,0,1721
2895,L50074,L,300.7,309.6,1733,24.8,85,0,0,0,0,0,0,2262
2896,M17755,M,300.7,309.6,1473,48.1,87,0,0,0,0,0,0,4719
2897,M17756,M,300.7,309.5,1633,31.3,90,0,0,0,0,0,0,9056
2898,M17757,M,300.6,309.5,1530,40.2,93,0,0,0,0,0,0,2707
2899,M17758,M,300.6,309.5,1550,40.2,96,0,0,0,0,0,0,6034
2900,L50079,L,300.6,309.4,1410,40.6,99,0,0,0,0,0,0,4828
2901,L50080,L,300.5,309.3,1574,33.5,101,0,0,0,0,0,0,5770
2902,L50081,L,300.6,309.4,1425,40.3,103,0,0,0,0,0,0,255
2903,M17762,M,300.6,309.4,1541,35.2,105,0,0,0,0,0,0,8949
2904,M17763,M,300.7,309.5,1733,26.7,108,0,0,0,0,0,0,3521
2905,L50084,L,300.6,309.4,2496,13.5,111,0,0,0,0,0,0,5977
2906,L50085,L,300.6,309.4,1552,36.4,113,0,0,0,0,0,0,8719
2907,L50086,L,300.6,309.3,1409,38.7,115,0,0,0,0,0,0,9107
2908,M17767,M,300.6,309.4,1581,35.7,117,0,0,0,0,0,0,2989
2909,L50088,L,300.7,309.5,1251,59.9,120,0,0,0,0,0,0,4209
2910,L50089,L,300.7,309.6,1500,44.1,122,0,0,0,0,0,0,9438
2911,L50090,L,300.6,309.5,1576,38.8,124,0,0,0,0,0,0,5121
2912,M17771,M,300.7,309.5,1352,44,126,0,0,0,0,0,0,9715
2913,L50092,L,300.7,309.6,1661,30.3,129,0,0,0,0,0,0,4881
2914,L50093,L,300.7,309.6,1541,34.6,131,0,0,0,0,0,0,9786
2915,H32328,H,300.6,309.6,1888,20.5,133,0,0,0,0,0,0,8049
2916,L50095,L,300.5,309.5,1255,62.1,138,0,0,0,0,0,0,9592
2917,L50096,L,300.6,309.6,1411,41.6,140,0,0,0,0,0,0,5142
2918,L50097,L,300.6,309.5,1516,39,142,0,0,0,0,0,0,5960
2919,M17778,M,300.6,309.5,1492,34,144,0,0,0,0,0,0,5261
2920,L50099,L,300.6,309.6,1726,30,147,0,0,0,0,0,0,2138
2921,L50100,L,300.7,309.7,1598,33.7,149,0,0,0,0,0,0,7531
2922,L50101,L,300.8,309.8,1657,31.1,151,0,0,0,0,0,0,2402
2923,L50102,L,300.8,309.7,1481,38.1,153,0,0,0,0,0,0,667
2924,M17783,M,300.7,309.7,1397,51.3,155,0,0,0,0,0,0,9627
2925,L50104,L,300.8,309.7,1461,44.3,158,0,0,0,0,0,0,1022
2926,M17785,M,300.7,309.6,1388,51.1,160,0,0,0,0,0,0,6367
2927,L50106,L,300.7,309.7,1507,52.4,163,0,0,0,0,0,0,6796
2928,M17787,M,300.7,309.6,1421,49.8,165,0,0,0,0,0,0,3103
2929,M17788,M,300.8,309.7,1258,54.9,168,0,0,0,0,0,0,8366
2930,M17789,M,300.8,309.7,1482,39,171,0,0,0,0,0,0,6510
2931,H32344,H,300.7,309.6,1403,51.3,174,0,0,0,0,0,0,6253
2932,L50111,L,300.8,309.7,1373,45.4,179,0,0,0,0,0,0,2490
2933,L50112,L,300.9,309.7,1460,42.1,181,0,0,0,0,0,0,5389
2934,M17793,M,300.8,309.7,1751,27.9,183,0,0,0,0,0,0,9560
2935,M17794,M,300.8,309.6,1546,42.3,186,0,0,0,0,0,0,7768
2936,M17795,M,300.8,309.7,1680,28.2,189,0,0,0,0,0,0,6130
2937,M17796,M,300.9,309.7,1394,48.8,192,0,0,0,0,0,0,6014
2938,L50117,L,300.7,309.6,1810,26,195,0,0,0,0,0,0,1398
2939,L50118,L,300.7,309.5,1479,34.5,197,0,0,0,0,0,0,4200
2940,L50119,L,300.9,309.7,1431,41.4,199,0,0,0,0,0,0,4683
2941,L50120,L,300.9,309.7,2355,14.4,201,0,0,0,0,0,0,173
2942,M17801,M,300.7,309.6,1996,19.8,203,1,1,0,0,0,0,8818
2943,L50122,L,300.7,309.5,1461,49.9,0,0,0,0,0,0,0,1156
2944,H32357,H,300.7,309.5,2007,19.7,2,0,0,0,0,0,0,3371
2945,L50124,L,300.7,309.6,1505,34.9,7,0,0,0,0,0,0,1428
2946,H32359,H,300.7,309.6,1925,20.5,9,0,0,0,0,0,0,5134
2947,M17806,M,300.7,309.5,1622,30.5,14,0,0,0,0,0,0,3665
2948,L50127,L,300.7,309.5,1592,29,17,0,0,0,0,0,0,8554
2949,L50128,L,300.7,309.5,1850,24.5,19,0,0,0,0,0,0,6133
2950,M17809,M,300.7,309.5,1470,48.7,21,0,0,0,0,0,0,5419
2951,M17810,M,300.7,309.5,1445,46.4,24,0,0,0,0,0,0,2072
2952,L50131,L,300.7,309.5,1685,31.1,27,0,0,0,0,0,0,1105
2953,H32366,H,300.7,309.5,1667,30.5,29,0,0,0,0,0,0,9456
2954,L50133,L,300.7,309.5,1578,35.4,34,0,0,0,0,0,0,5152
2955,H32368,H,300.6,309.4,1691,28,36,0,0,0,0,0,0,6354
2956,M17815,M,300.7,309.5,1439,43.8,41,0,0,0,0,0,0,7019
2957,M17816,M,300.8,309.6,1404,38.7,44,0,0,0,0,0,0,1952
2958,L50137,L,300.8,309.6,1498,45.8,47,0,0,0,0,0,0,8077
2959,M17818,M,300.8,309.5,1481,44.5,49,0,0,0,0,0,0,1539
2960,M17819,M,300.7,309.4,1589,35,52,0,0,0,0,0,0,3376
2961,L50140,L,300.7,309.5,1467,44.3,55,0,0,0,0,0,0,5053
2962,L50141,L,300.6,309.4,1654,32.8,57,0,0,0,0,0,0,3439
2963,L50142,L,300.7,309.5,1508,39.9,59,0,0,0,0,0,0,7887
2964,M17823,M,300.7,309.6,1439,43,61,0,0,0,0,0,0,3500
